variable_original,importancia,porcentaje_importancia
mes,0.21704561513311765,21.704561513311766
campaña,0.20454823448367504,20.454823448367502
tipo_campaña,0.16678418432940811,16.678418432940813
tickets_previos_totales,0.09662182334298314,9.662182334298313
campañas_anteriores_con_compra,0.08752420659080899,8.752420659080899
ciudad,0.08528001672586749,8.528001672586749
recencia_dias,0.03754661175045323,3.7546611750453227
genero,0.03311106875049354,3.3111068750493544
antiguedad_cliente_dias,0.024486361697971176,2.4486361697971177
tickets_mismo_tipo_campaña_previos,0.018750620378013665,1.8750620378013665
edad,0.016550846165299015,1.6550846165299016
tickets_misma_campaña_anterior,0.011750410651908783,1.1750410651908783
