variable_original,importancia_shap,porcentaje_importancia_shap
tipo_campaña,0.06719948441390339,22.353957825457886
campaña,0.0637720005776606,21.213802811010215
mes,0.06284291486330075,20.904741766030853
tickets_previos_totales,0.023888080114979175,7.946387387920523
campañas_anteriores_con_compra,0.02321434738603543,7.722269701009772
ciudad,0.01929325138240216,6.417914236689355
recencia_dias,0.015589014544321477,5.185697132999329
genero,0.010357598376877782,3.4454627042027335
tickets_mismo_tipo_campaña_previos,0.005390603476970749,1.7931882041797238
antiguedad_cliente_dias,0.004568742076628679,1.5197954059781753
edad,0.0025543160821481516,0.8496951200032564
tickets_misma_campaña_anterior,0.0019452465846865345,0.6470877045181923
